root 00: exact baseline, 4752 eligible, 4685 fail-low
root 01: exact baseline, 2264 eligible, 2219 fail-low
root 02: exact baseline, 9044 eligible, 8865 fail-low
root 03: exact baseline, 14538 eligible, 14349 fail-low
root 04: exact baseline, 3384 eligible, 3311 fail-low
root 05: exact baseline, 3743 eligible, 3693 fail-low
root 06: exact baseline, 3912 eligible, 3844 fail-low
root 07: exact baseline, 726 eligible, 720 fail-low
root 08: exact baseline, 3871 eligible, 3790 fail-low
root 09: exact baseline, 4112 eligible, 4049 fail-low
root 10: exact baseline, 4318 eligible, 4283 fail-low
root 11: exact baseline, 3714 eligible, 3660 fail-low
root 12: exact baseline, 620 eligible, 613 fail-low
root 13: exact baseline, 3749 eligible, 3697 fail-low
root 14: exact baseline, 5526 eligible, 5398 fail-low
root 15: exact baseline, 2554 eligible, 2507 fail-low
root 16: exact baseline, 3409 eligible, 3344 fail-low
root 17: exact baseline, 3402 eligible, 3352 fail-low
root 18: exact baseline, 8060 eligible, 7923 fail-low
root 19: exact baseline, 1563 eligible, 1537 fail-low
root 20: exact baseline, 7184 eligible, 7065 fail-low
root 21: exact baseline, 5258 eligible, 5179 fail-low
root 22: exact baseline, 2128 eligible, 2088 fail-low
root 23: exact baseline, 1137 eligible, 1118 fail-low
root 24: exact baseline, 5268 eligible, 5210 fail-low
root 25: exact baseline, 2369 eligible, 2329 fail-low
root 26: exact baseline, 1975 eligible, 1931 fail-low
root 27: exact baseline, 5679 eligible, 5575 fail-low
root 28: exact baseline, 1434 eligible, 1414 fail-low
root 29: exact baseline, 4969 eligible, 4882 fail-low
root 30: exact baseline, 5924 eligible, 5878 fail-low
root 31: exact baseline, 3030 eligible, 2972 fail-low
root 32: exact baseline, 4164 eligible, 4092 fail-low
root 33: exact baseline, 2522 eligible, 2493 fail-low
root 34: exact baseline, 3112 eligible, 3073 fail-low
root 35: exact baseline, 4496 eligible, 4400 fail-low
root 36: exact baseline, 3343 eligible, 3268 fail-low
root 37: exact baseline, 13844 eligible, 13746 fail-low
root 38: exact baseline, 4926 eligible, 4812 fail-low
root 39: exact baseline, 16019 eligible, 15762 fail-low
root 40: exact baseline, 3095 eligible, 3050 fail-low
root 41: exact baseline, 4894 eligible, 4819 fail-low
root 42: exact baseline, 4084 eligible, 4033 fail-low
root 43: exact baseline, 8487 eligible, 8347 fail-low
root 44: exact baseline, 9113 eligible, 8965 fail-low
root 45: exact baseline, 3487 eligible, 3412 fail-low
root 46: exact baseline, 1820 eligible, 1794 fail-low
root 47: exact baseline, 3966 eligible, 3879 fail-low
root 48: exact baseline, 5505 eligible, 5431 fail-low
root 49: exact baseline, 4692 eligible, 4604 fail-low
root 50: exact baseline, 3938 eligible, 3881 fail-low
root 51: exact baseline, 2513 eligible, 2464 fail-low
root 52: exact baseline, 11850 eligible, 11639 fail-low
root 53: exact baseline, 19461 eligible, 19216 fail-low
root 54: exact baseline, 4283 eligible, 4201 fail-low
root 55: exact baseline, 1089 eligible, 1056 fail-low
root 56: exact baseline, 6752 eligible, 6644 fail-low
root 57: exact baseline, 7639 eligible, 7508 fail-low
root 58: exact baseline, 1540 eligible, 1513 fail-low
root 59: exact baseline, 13688 eligible, 13466 fail-low
root 60: exact baseline, 2960 eligible, 2910 fail-low
root 61: exact baseline, 7368 eligible, 7289 fail-low
root 62: exact baseline, 2438 eligible, 2389 fail-low
root 63: exact baseline, 3706 eligible, 3616 fail-low
