00-replay-positive: still_fail_low, localnodes +4, rootnodes +2694
00-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
01-replay-positive: still_fail_low, localnodes +0, rootnodes +0
01-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
02-replay-positive: still_fail_low, localnodes +1, rootnodes +1306
02-replay-nonpositive: still_fail_low, localnodes +3, rootnodes -11944
03-replay-positive: still_fail_low, localnodes +0, rootnodes +0
03-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
04-replay-positive: still_fail_low, localnodes +0, rootnodes +0
04-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
05-replay-positive: still_fail_low, localnodes +4, rootnodes -780
05-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
06-replay-positive: still_fail_low, localnodes +2, rootnodes +11738
06-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
07-replay-positive: still_fail_low, localnodes +0, rootnodes +0
07-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
08-replay-positive: still_fail_low, localnodes +0, rootnodes +0
08-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
09-replay-positive: still_fail_low, localnodes +0, rootnodes +0
09-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
10-replay-positive: still_fail_low, localnodes +8, rootnodes -5772
10-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
11-replay-positive: still_fail_low, localnodes +0, rootnodes +0
11-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
12-replay-positive: still_fail_low, localnodes +39, rootnodes -91
12-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
13-replay-positive: still_fail_low, localnodes +9, rootnodes -3423
13-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
14-replay-positive: still_fail_low, localnodes +0, rootnodes +34296
14-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
15-replay-positive: still_fail_low, localnodes +0, rootnodes +0
15-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
16-replay-positive: still_fail_low, localnodes +0, rootnodes +0
16-replay-nonpositive: still_fail_low, localnodes +3, rootnodes +3093
17-replay-positive: still_fail_low, localnodes +0, rootnodes -6249
